Order,Taxonomy Classification,Importances
0,Actinomyces spp.,0.339
1,Porphyromonas gingivalis,0.334
2,Corynebacterium durum,0.047
3,Actinomyces graevenitzii,0.046
4,Prevotella intermedia,0.034
5,Porphyromonas sp. HMT 285,0.030
6,Filifactor alocis,0.030
7,Campylobacter showae,0.022
8,Treponema spp.,0.019
9,Peptostreptococcaceae [XI][G-9] brachy,0.013
10,Tannerella forsythia,0.013
11,Lachnospiraceae [G-8] bacterium HMT 500,0.012
12,Fretibacterium spp.,0.011
13,Treponema putidum,0.011
14,Peptostreptococcaceae [XI][G-6] nodatum,0.011
15,Mycoplasma faucium,0.007
16,Prevotella sp. HMT 526,0.007
17,Treponema sp. HMT 260,0.006
18,Peptostreptococcaceae [XI][G-5] saphenum,0.006
19,Prevotella sp. HMT 304,0.003
