Order,Taxonomy Classification,Importances
0,Actinomyces spp.,0.378
1,Porphyromonas gingivalis,0.107
2,Actinomyces graevenitzii,0.082
3,Lachnospiraceae [G-8] bacterium HMT 500,0.065
4,Filifactor alocis,0.062
5,Porphyromonas sp. HMT 285,0.053
6,Fretibacterium spp.,0.039
7,Campylobacter showae,0.037
8,Corynebacterium durum,0.034
9,Prevotella intermedia,0.032
10,Treponema spp.,0.022
11,Peptostreptococcaceae [XI][G-9] brachy,0.017
12,Tannerella forsythia,0.016
13,Treponema putidum,0.015
14,Prevotella sp. HMT 526,0.010
15,Treponema sp. HMT 260,0.009
16,Mycoplasma faucium,0.009
17,Peptostreptococcaceae [XI][G-5] saphenum,0.006
18,Peptostreptococcaceae [XI][G-6] nodatum,0.006
19,Prevotella sp. HMT 304,0.003
